MLocID,StationDes,Lat_DD,Long_DD,Eco3,COMID,rdden_km_km2,xings_km2,P_AgLand,P_Urban21Land,mines,grvl_mn_km2,P_canal,rd_Status,xing_Status,Ag_Status,Urb21L_Status,mines_status,gmines_status,canal_status,GIS.status_2020,WorE,Disturb.score,BPJ_final,Ref2020_FINAL,owner
10391-ORDEQ,Siletz R 5 miles DS of Siletz at RM 29.9,44.76428368,-123.91502,CoRa,23880866,3.345290265,0.559919181,2.152527362,5.2828201,6,0.003403764,0,0,0,0,0,0,0,1,NO,W,NA,NA,NO,DEQ
10393-ORDEQ,North Fork Coquille River at Hwy 42 (Myrtle Point),43.07848703,-124.1380947,CoRa,23914915,3.177750397,0.436880778,2.832350854,3.736426473,3,0.001340125,0,0,0,0,0,0,0,1,NO,W,NA,NA,NO,DEQ
103CDCHHR,Cedar Creek above Howland Hill Rd.,41.7889,-124.07784,CR,NA,0.449420754,0,0,0.000781151,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,E,14,Score,YES,DEQ
103KLCMSR,Kelly Creek ~0.7mi above MF Smith River,41.85546,-123.85215,KlMt,NA,0.090811432,0,0,0.594477777,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,E,2,Score,YES,DEQ
103PS0281,Bear Creek ~0.6mi above Diamond Cr.,41.95452,-123.91289,KlMt,22227360,0.225795693,0,0,0.587561579,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,W,2,Score,YES,DEQ
103STCNSR,Stony Creek ~0.2mi abobe NF Smith River,41.86198,-123.96086,KlMt,22227560,0.411562167,0.039248008,0,1.600248053,0,0,0,1,1,1,0,1,1,1,NO,W,2,Score,YES,DEQ
103WER026,Hardscrabble Creek above Coldwater Creek,41.8455182,-124.028345,KlMt,22226750,1.202012895,0.076307335,0,4.022569832,0,0,0,0,1,1,0,1,1,1,NO,W,1,Score,YES,DEQ
103WER029,Clarks Creek above Hwy 199,41.80977,-124.11209,CoRa,22226788,0,0,0,0.007281594,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,W,0,Score,YES,DEQ
103WER030,Eighteen Mile Creek above Old Gasquet Rd.,41.85649,-123.91194,KlMt,22227610,0.462288664,0,0,1.961777708,0,0,0,1,1,1,0,1,1,1,NO,W,1,Score,YES,DEQ
10404-ORDEQ,Umatilla River at Yoakum Bridge,45.67731022,-119.0363477,ColPl,23648048,1.234318953,0.241344521,22.99926958,1.907216964,35,0.00242253,0,0,0,0,0,2,0,1,Trash,E,NA,NA,Trash,DEQ
10405-ORDEQ,Umatilla River at Rieth Bridge,45.65753433,-118.8767931,ColPl,23648254,1.191309211,0.201838325,26.71728032,2.096580006,26,0.002955791,0,0,0,0,0,2,0,1,Trash,E,NA,NA,Trash,DEQ
10406-ORDEQ,Umatilla River at Hwy 11 (Pendleton),45.67470348,-118.7595036,ColPl,23648418,1.135690176,0.12301166,5.913807153,1.091046477,11,0.001744846,0,1,0,0,1,0,0,1,NO,E,NA,NA,NO,DEQ
10410-ORDEQ,Wallowa River at Minam,45.62082404,-117.7196786,BM,23436991,1.127175276,0.316829767,11.99832986,1.321016448,17,0.002418548,13.24769708,1,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10411-ORDEQ,Deschutes River at Deschutes River Park,45.63251478,-120.9125077,ColPl,23718703,1.810241809,0.336813273,3.585225802,1.253143621,297,0.003532872,6.574571431,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10418-ORDEQ,Rogue River at Robertson Bridge (Merlin),42.49646656,-123.4886101,KlMt,23940627,2.45443879,0.653396547,5.924288439,2.82434364,301,0.006075934,9.999084017,0,0,0,0,2,2,2,Trash,W,NA,NA,Trash,DEQ
10421-ORDEQ,Rogue River at Hwy 234 (north of Gold Hill),42.43238106,-123.0907077,KlMt,23930688,2.474952018,0.618014104,7.087483577,1.789615027,160,0.005615017,9.647181184,0,0,0,0,2,2,2,Trash,W,NA,NA,Trash,DEQ
10423-ORDEQ,Rogue River at Hwy 234 (Dodge Park),42.52496677,-122.8427653,KlMt,23923226,2.203483993,0.473723948,0.848109624,0.797514354,15,0,2.439282295,0,0,0,1,0,1,0,NO,W,NA,NA,NO,DEQ
10428-ORDEQ,Applegate River at Hwy 199 (near Wilderville),42.3974053,-123.4569766,KlMt,23935777,1.940432669,0.552143501,3.505630247,4.308142668,104,0.008603519,8.551253415,0,0,0,0,2,2,2,Trash,W,NA,NA,Trash,DEQ
10437-ORDEQ,Umpqua River at Elkton Bridge,43.63196317,-123.5671511,CoRa,24526798,2.486726815,0.391155033,6.724058222,2.037733636,145,0.00575998,1.001862446,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10441-ORDEQ,Elk Creek at Elkton,43.63527361,-123.564506,CoRa,24527092,3.500135385,0.559917365,8.479987205,3.543891552,13,0,0,0,0,0,0,0,1,1,NO,W,NA,NA,NO,DEQ
10442-ORDEQ,South Umpqua at Melrose Road,43.24178425,-123.4121303,KlMt,23900921,2.693786302,0.466252011,5.989991404,2.422058201,103,0.007869232,0.288862675,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10443-ORDEQ,South Umpqua at Hwy 42 (Winston),43.13391838,-123.3992438,KlMt,23900935,2.651104248,0.444313961,4.325033968,2.275112937,70,0.006141501,0.309365911,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10451-ORDEQ,North Umpqua at Garden Valley Road (Roseburg),43.27157828,-123.4107336,KlMt,23893934,1.983760165,0.299780468,3.280897738,0.817053552,21,0.00140742,2.320055209,0,0,0,1,2,0,0,Trash,W,NA,NA,Trash,DEQ
10456-ORDEQ,Tualatin River at Boones Ferry Road,45.38596892,-122.7571138,WV,23804850,3.689271188,0.720692554,28.31333457,5.383490561,38,0.006709318,2.002634699,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10458-ORDEQ,Tualatin River near Elsner Road,45.38836531,-122.8514638,WV,23804866,3.324531392,0.622411653,29.51817053,4.951346446,25,0.00123617,2.24441113,0,0,0,0,2,0,0,Trash,W,NA,NA,Trash,DEQ
10459-ORDEQ,Tualatin River at Hwy 210 (Scholls),45.41476586,-122.9207017,WV,23804868,3.346108053,0.632042439,28.81019133,4.995625849,25,0.001257796,2.281214237,0,0,0,0,2,0,0,Trash,W,NA,NA,Trash,DEQ
10461-ORDEQ,Tualatin River at Rood Road,45.48997521,-122.9514965,WV,23804938,2.650058147,0.468955513,28.174852,4.406454651,18,0.001636843,3.067974215,0,0,0,0,2,0,2,Trash,W,NA,NA,Trash,DEQ
10469-ORDEQ,Fanno Creek at Bonita Road (Tigard),45.41498209,-122.7542948,WV,23805272,10.11520227,2.567365437,1.524173269,11.20393688,1,0.013953073,0,2,2,0,2,0,2,1,Trash,W,NA,NA,Trash,DEQ
10480-ORDEQ,Beaverton Creek at Cornelius Pass Road,45.52086352,-122.9000204,WV,23804894,10.34082807,1.900204973,1.383719093,9.918973643,2,0,0,2,2,0,2,0,1,1,Trash,W,NA,NA,Trash,DEQ
10506-ORDEQ,Deschutes River at Hwy 26 (Warm Springs),44.76138,-121.2286117,BM,23719619,2.027500012,0.359807237,2.958975262,1.407646653,241,0.004768142,8.48641322,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10508-ORDEQ,Deschutes River at Lower Bridge,44.3597546,-121.2947875,BM,23700355,2.869524252,0.303158688,1.128908174,2.567111907,117,0.009624085,13.85082702,0,0,0,0,2,2,2,Trash,E,NA,NA,Trash,DEQ
10511-ORDEQ,Deschutes River at Mirror Pond (Drake Park-Bend),44.06035564,-121.3209114,EC,23700443,2.63972573,0.220246488,0.216200792,1.977040691,53,0.005660541,4.550781685,0,0,0,0,2,2,2,Trash,E,NA,NA,Trash,DEQ
10517-ORDEQ,Crooked River at Lone Pine Road (Terrebonne),44.34864903,-121.0816256,BM,23713938,1.549939424,0.367494438,2.42322163,0.740080857,91,0.002752767,4.84219783,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10521-ORDEQ,Necanicum R at Forest Lake RV Camp (Seaside),45.95191901,-123.9250156,CoRa,23871159,3.292620199,0.532964186,0.336924011,3.737295094,2,0,0,0,0,0,0,0,1,1,NO,W,NA,NA,NO,DEQ
10523-ORDEQ,Nestucca R at Cloverdale,45.20700786,-123.8898902,CoRa,23875659,2.747144064,0.398446125,1.824590733,3.787015339,4,0.001632976,0,0,0,0,0,0,0,1,NO,W,NA,NA,NO,DEQ
10533-ORDEQ,Sixes River at Hwy 101 bridge,42.81689039,-124.4822563,CoRa,23920600,1.567331707,0.129493938,0.512203733,2.493444338,9,0.009961072,0,0,0,0,0,0,2,1,Trash,W,NA,NA,Trash,DEQ
10537-ORDEQ,Winchuck River 1.3 miles upstream of Hwy 101,42.00832032,-124.1886369,CoRa,23949499,1.52064537,0.147975724,0.019819283,3.338120655,0,0,0,0,0,0,0,1,1,1,NO,W,NA,NA,NO,DEQ
10548-ORDEQ,Big Creek U/S Fish Hatchery (Lower Columbia),46.13482,-123.55353,CoRa,23832933,2.916758262,0.292803944,0,5.275975393,0,0,0,0,0,1,0,1,1,1,NO,W,NA,NA,NO,DEQ
10555-ORDEQ,Willamette River at Marion Street (Salem),44.94386485,-123.0452731,WV,23791091,2.384128209,0.41583259,17.07772164,1.760372543,299,0.006333557,1.340697267,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10588-ORDEQ,Deer Creek at mouth,44.53298927,-123.8806873,CoRa,23887126,0.825458825,0,0,0.056290021,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,W,23,Score,NO,DEQ
10596-ORDEQ,Coquille River at Sturdivant Park Dock (Coquille),43.17439981,-124.1993961,CoRa,23914467,2.944462328,0.43384742,2.883823773,4.213618783,30,0.004991533,0.156369392,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
105BVCAGC,Burney Valley Creek above Granite Creek,41.61202,-123.29225,KlMt,NA,0,0,0,0.27617687,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,E,3,Score,YES,DEQ
105FC1297,Butler Creek ~1mi above Salmon R.,41.3286,-123.41992,KlMt,8257759,0.168765417,0,0,2.225310537,0,0,0,1,1,1,0,1,1,1,NO,W,1,Score,YES,DEQ
105FS0416,Elk Creek at Hummingbird Cr.,41.61411,-123.28187,KlMt,4439616,0.333706571,0.026644711,0,1.444783337,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,W,4,Score,YES,DEQ
105FS0425,"Salmon River, NF ~2.7mi above Sawyers Bar Rd.",41.35827,-123.07451,KlMt,8257711,0.535492421,0.08133156,0,1.579800612,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,W,3,Score,YES,DEQ
105FS0428,Bridge Creek above Wooley Cr.,41.44105,-123.35829,KlMt,8257399,0.184389498,0,0,3.782490463,0,0,0,1,1,1,0,1,1,1,NO,W,3,Score,YES,DEQ
105PS0083,Cherry Creek above Little North Fork Salmon R.,41.36469,-123.18717,KlMt,8257659,0.400844923,0.442145289,0,1.345170811,0,0,0,1,0,1,1,1,1,1,NO,W,13,Score,YES,DEQ
105PS0275,Shackleford Creek ~0.2mi below Long High Cr.,41.55216,-123.07014,KlMt,3798357,1.092704493,0.352925755,0,3.366211017,0,0,0,1,0,1,0,1,1,1,NO,W,3,Score,YES,DEQ
105TMCACC,Tenmile Creek above Clear Creek,41.73693,-123.54872,KlMt,NA,0.001491571,0,0,0.007256939,0,0,0,1,1,1,1,1,1,1,Ref_GIS.candidate,E,1,Score,YES,DEQ
105WLCABC,Wooley Creek ~0.5mi above Bridge Cr.,41.44225,-123.35041,KlMt,8257397,0.226756019,0.040061551,0.000360554,1.000591328,0,0,0,1,1,0,1,1,1,1,NO,W,3,Score,YES,DEQ
10602-ORDEQ,Little Butte Creek at Agate Road (White City),42.45527744,-122.8561347,KlMt,23922978,2.208241368,0.517314699,7.418827774,1.250604682,34,0.001036703,13.07003064,0,0,0,1,2,0,2,Trash,W,NA,NA,Trash,DEQ
10611-ORDEQ,Willamette River at Hawthorne Bridge,45.51333124,-122.6705734,WV,23815040,2.58706146,0.472665824,21.74717653,2.453435905,559,0.007543276,1.320675859,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10637-ORDEQ,Molalla River at Knights Bridge Road (Canby),45.26749645,-122.7103007,WV,23800828,2.96852968,0.496403266,15.90280864,1.621638626,38,0.006738506,0,0,0,0,0,2,2,1,Trash,W,NA,NA,Trash,DEQ
10640-ORDEQ,Pudding River at Hwy 211 (Woodburn),45.1504954,-122.7928998,WV,23800604,2.413239677,0.516850295,52.78357621,2.589701293,15,0.004875946,2.561878731,0,0,2,0,0,0,2,Trash,W,NA,NA,Trash,DEQ
10662-ORDEQ,McKenzie River at Hendricks Bridge,44.05581242,-122.8296546,WV,23772789,3.17709002,0.344851369,15.54949376,1.126692656,0,0,0,0,0,0,1,1,1,1,NO,W,NA,NA,NO,DEQ
10674-ORDEQ,Sandy River at Troutdale Bridge,45.53853195,-122.3768415,WV,23735731,1.27536722,0.260580833,3.120062655,1.644629206,14,0.002383361,0.817904477,0,0,0,0,0,0,0,NO,W,NA,NA,NO,DEQ
10681-ORDEQ,West Fork Hood River at mouth,45.60483973,-121.6333404,Ca,24504362,1.573548049,0.501431526,7.526376121,1.560278582,6,0,3.481968982,0,0,0,1,0,1,2,Trash,W,NA,NA,Trash,DEQ
10686-ORDEQ,Deschutes River at Harper Bridge (Sunriver),43.8632884,-121.452045,EC,23700411,2.565899848,0.20956125,0.230023822,1.564873388,27,0.003350543,4.255842248,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10688-ORDEQ,Deschutes River at Pringle Falls,43.74117494,-121.6067814,EC,23700501,1.91096628,0.133570775,0.001526565,0.802833852,1,0,0,0,0,0,1,0,1,1,NO,E,NA,NA,NO,DEQ
10690-ORDEQ,Metolius River north of Camp Sherman (Bridge 99),44.55651745,-121.6209269,EC,23700195,2.956758131,0.508659514,0.079217089,1.450209563,1,0.002365858,0,0,0,0,1,0,0,1,NO,E,NA,NA,NO,DEQ
10696-ORDEQ,Little Deschutes River at HWY 42 (Road 2114),43.82054348,-121.4513158,EC,23706180,2.66818962,0.245932227,0.297695709,1.575835323,25,0.004900823,6.323373124,0,0,0,1,2,2,2,Trash,E,NA,NA,Trash,DEQ
10719-ORDEQ,Grande Ronde River at Hwy 82 (North Elgin),45.56668293,-117.9111036,BM,23428452,2.244574111,0.462926407,13.73638409,1.10004037,37,0.003281227,6.64078826,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10720-ORDEQ,Grande Ronde River at Hilgard Park,45.34190983,-118.2364069,BM,23428594,2.658707883,0.496639641,0.123939763,0.521202168,5,0.000708473,0,0,0,0,1,0,0,1,NO,E,NA,NA,NO,DEQ
10728-ORDEQ,Willow Creek at RR Crossing (Vale),43.98800692,-117.2306332,SRP,24145066,1.32918382,0.451643614,8.031850037,1.455782032,21,0.005526229,8.721125766,0,0,0,1,2,2,2,Trash,E,NA,NA,Trash,DEQ
10729-ORDEQ,Owyhee River at Hwy 201 Bridge (Owyhee),43.78411284,-117.0555042,SRP,24542091,0.612758321,0.185187073,0.772097608,0.214895631,119,0.001099903,1.644429415,1,0,0,1,2,0,0,Trash,E,NA,NA,Trash,DEQ
10741-ORDEQ,Honey Creek at Plush,42.41902971,-119.9051597,NBR,24043079,1.361073106,0.387318635,0.015263327,0.104205197,0,0,8.901692198,0,0,0,1,1,1,2,Trash,E,NA,NA,Trash,DEQ
10743-ORDEQ,Chewaucan River at Paisley,42.69611896,-120.5450365,NBR,24035560,1.846518324,0.43365578,0.026418158,0.929006686,1,0,0.484174839,0,0,0,1,0,1,0,NO,E,NA,NA,NO,DEQ
10751-ORDEQ,Thomas Creek at Hwy 140,42.19318707,-120.3900968,EC,7915873,1.285495269,0.353937515,8.283303641,0.628449659,23,0.001776349,13.16326843,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10763-ORDEQ,Klamath Strait at USBR Pump Station F,42.07999454,-121.8430807,EC,2552667,1.786383392,0.617236103,77.68870227,1.385162305,2,0,99.99999955,0,0,2,1,0,1,2,Trash,E,NA,NA,Trash,DEQ
10764-ORDEQ,Klamath River downstream of Big Bend Powerhouse,42.08938322,-122.0720192,EC,358943,1.775051079,0.272112764,7.763643825,0.998056982,95,0.001105588,22.25275076,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10765-ORDEQ,Klamath River at Hwy 66 (Keno),42.12761231,-121.9283573,EC,2553639,1.746684157,0.270190093,7.986980736,0.969252299,93,0.001137642,22.70590423,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10768-ORDEQ,Link River at mouth (Klamath Falls),42.21850014,-121.7889116,EC,2553629,1.982266468,0.258945126,3.162624011,0.772937205,47,0.001126828,12.02355819,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10770-ORDEQ,Williamson River at Williamson River Store,42.51406806,-121.9169827,EC,24081505,2.135778031,0.280147998,0.904628771,0.594122566,30,0.000580919,5.167712378,0,0,0,1,2,0,2,Trash,E,NA,NA,Trash,DEQ
10792-ORDEQ,North Santiam River at Greens Bridge,44.70831959,-122.9725255,WV,23780883,1.920776517,0.32173235,7.201456538,1.193203273,23,0.003692011,2.545642447,0,0,0,1,2,0,0,Trash,W,NA,NA,Trash,DEQ
107GWCAPC,Godwood Creek ~0.2mi above Prarie Cr.,41.36789,-124.02434,CoRa,8315561,1.483513896,0.44694735,0,0,0,0,0,0,0,1,1,1,1,1,NO,W,4,Score,YES,DEQ
107WER092,Home Creek in Fern Canyon ~0.3mi above ocean bluffs,41.39996,-124.0579,CoRa,8315549,0.660665701,0.313873195,0,0,0,0,0,1,0,1,1,1,1,1,NO,W,3,Score,YES,DEQ
10801-ORDEQ,Swan Island Channel Midpoint,45.56586325,-122.7142955,WV,NA,7.429522672,0,0.112410925,2.999590651,0,0,0,2,1,0,0,1,1,1,Trash,W,NA,NA,Trash,DEQ
10812-ORDEQ,Skipanon River at Hwy 101,46.1385377,-123.9242428,CoRa,23832731,2.610697633,0.490007614,0.02035416,7.689906683,3,0.11307868,0,0,0,0,0,0,2,1,Trash,W,NA,NA,Trash,DEQ
10817-ORDEQ,Lewis & Clark River at Logan Road,46.07706389,-123.8448108,CoRa,23832763,2.594466607,0.396004487,0.678105023,3.882346202,0,0,0,0,0,0,0,1,1,1,NO,W,NA,NA,NO,DEQ
10856-ORDEQ,Johnson Creek at SE 122nd Avenue (Portland),45.47374354,-122.5357501,WV,23815064,4.594245441,1.286828912,28.3264685,13.54081709,2,0,0,0,0,0,2,0,1,1,Trash,W,NA,NA,Trash,DEQ
10869-ORDEQ,Tickle Creek at Deep Creek Road Bridge,45.403417,-122.360083,WV,23809570,4.006483373,1.20276154,40.66694329,7.044561283,0,0,0,0,0,2,0,1,1,1,Trash,W,NA,NA,Trash,DEQ
10917-ORDEQ,Pudding River at Hwy 99E (Aurora),45.23366042,-122.7501999,WV,23800594,2.442560544,0.531994653,51.74777599,2.480410436,20,0.003190373,1.648526974,0,0,2,0,2,0,0,Trash,W,NA,NA,Trash,DEQ
10929-ORDEQ,North Yamhill at Poverty Bend Road,45.25201536,-123.1741519,WV,23796501,3.342767237,0.536569138,35.57369369,3.559327775,8,0.006503868,0,0,0,2,0,0,2,1,Trash,W,NA,NA,Trash,DEQ
10948-ORDEQ,South Yamhill River at Hwy 99W (Mcminnville),45.16842228,-123.2078203,WV,23796633,2.828066566,0.53737944,31.77493701,3.687493165,16,0.002350056,0,0,0,2,0,2,0,1,Trash,W,NA,NA,Trash,DEQ
10996-ORDEQ,Calapooya Creek at Umpqua,43.36663162,-123.460813,KlMt,24526944,3.056716577,0.389786341,21.16478794,2.674340835,7,0.003143438,0,0,0,0,0,0,0,1,NO,W,NA,NA,NO,DEQ
10997-ORDEQ,Cow Creek at mouth,42.94294701,-123.3368795,KlMt,23901085,2.937234279,0.472424358,2.103836542,3.721417142,24,0.003872331,1.027952023,0,0,0,0,2,0,0,Trash,W,NA,NA,Trash,DEQ
11003-ORDEQ,Three Rivers at Hebo Bridge,45.22960146,-123.8618869,CoRa,23876269,2.061187803,0.328551877,0.399610499,3.378481454,1,0,0,0,0,0,0,0,1,1,NO,W,NA,NA,NO,DEQ
11017-ORDEQ,North Fork John Day River at Kimberly,44.75616347,-119.6385027,BM,23670625,1.943967022,0.451375656,0.1837608,0.928015854,58,0.000584873,0.555487248,0,0,0,1,2,0,0,Trash,E,NA,NA,Trash,DEQ
11020-ORDEQ,South Fork John Day River at Dayville,44.46564921,-119.5322996,BM,23821929,1.569625931,0.442534077,0.082029742,0.396711279,6,0,0,0,0,0,1,0,1,1,NO,E,NA,NA,NO,DEQ
11043-ORDEQ,Bully Creek at Hwy 20,43.9672501,-117.271947,SRP,24151739,1.043864368,0.317971577,3.096628132,0.886143918,7,0.00329846,4.458975655,1,0,0,1,0,0,2,Trash,E,NA,NA,Trash,DEQ
11051-ORDEQ,Bear Creek at Kirtland Road (Central Point),42.42683011,-122.9573795,KlMt,23930762,3.186703231,1.008192122,13.66317779,4.411638146,68,0.01603699,25.65785499,0,0,0,0,2,2,2,Trash,W,NA,NA,Trash,DEQ
11087-ORDEQ,Umatilla River at Cayuse Bridge,45.675768,-118.5561433,ColPl,23648454,1.104609447,0.103860383,1.058329833,0.655648091,8,0,0,1,1,0,1,0,1,1,NO,E,NA,NA,NO,DEQ
11140-ORDEQ,Long Tom River at Stow Pit Road (Monroe),44.34277935,-123.2954319,WV,23763073,3.38133942,0.587996547,29.84940541,3.452794469,17,0.003818159,3.545122122,0,0,0,0,2,0,2,Trash,W,NA,NA,Trash,DEQ
11180-ORDEQ,Calapooia River at Queen Road,44.61969873,-123.1284091,WV,23763521,2.383030957,0.457543131,47.15867388,1.618525498,27,0.008356952,2.349536948,0,0,2,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
11201-ORDEQ,Columbia Slough at Landfill Road,45.61069632,-122.7546895,WV,23815092,10.36045261,0.494399489,1.486633142,6.976236788,7,0.080483638,5.750229718,2,0,0,0,0,2,2,Trash,W,NA,NA,Trash,DEQ
11233-ORDEQ,Clackamas River at High Rocks (Old Hwy 213),45.37995144,-122.5818003,WV,23809000,1.843091747,0.369405128,7.425345369,1.861380172,45,0.004925402,0,0,0,0,0,2,2,1,Trash,W,NA,NA,Trash,DEQ
11241-ORDEQ,Salmon River at Old Scenic Hwy 101 (Otis),45.02313699,-123.9466994,CoRa,23881230,3.659796015,0.708849037,0.889951517,4.800296703,3,0,0,0,0,0,0,0,1,1,NO,W,NA,NA,NO,DEQ
11263-ORDEQ,Alsea River at Thissell Road (Mike Bauer Park),44.38633782,-123.8312376,CoRa,23886298,2.456090616,0.338356409,2.393128154,4.176184984,5,0,0,0,0,0,0,0,1,1,NO,W,NA,NA,NO,DEQ
11275-ORDEQ,Coast Fork Willamette at Mt. Pisgah Park,44.0122996,-122.9835402,WV,23759226,3.292042469,0.585536311,8.357956164,1.710606889,30,0.004123495,0.705138065,0,0,0,0,2,0,0,Trash,W,NA,NA,Trash,DEQ
11321-ORDEQ,Johnson Creek at SE 17th Avenue (Portland),45.44669361,-122.6431333,WV,23815062,7.58158783,1.179703496,16.59830444,10.293058,6,0.029492587,0,2,0,0,2,0,2,1,Trash,W,NA,NA,Trash,DEQ
11325-ORDEQ,Johnson Creek at Foster Road (Portland),45.47732649,-122.5131832,WV,23815066,4.62661192,1.306053843,30.34182298,13.12982567,2,0,0,0,0,2,2,0,1,1,Trash,W,NA,NA,Trash,DEQ
11386-ORDEQ,John Day River at Hwy 206,45.47702986,-120.4695298,ColPl,23685566,1.50002507,0.362754369,1.799416079,0.891415337,137,0.000725174,0.779474354,0,0,0,1,2,0,0,Trash,E,NA,NA,Trash,DEQ
11434-ORDEQ,Clatskanie River at Hwy 30 (Clatskanie),46.10202678,-123.1994557,CoRa,24520350,3.388971045,0.533294798,1.890513563,4.771717438,9,0,0,0,0,0,0,0,1,1,NO,W,NA,NA,NO,DEQ
11457-ORDEQ,Minam River at Minam,45.61966179,-117.7278643,BM,23436993,0.286094025,0.033956335,0.019357185,0.160084203,2,0,0,1,1,0,1,0,1,1,NO,E,NA,NA,NO,DEQ
11476-ORDEQ,Yaquina River at Trapp Road (Chitwood),44.65756552,-123.8389062,CoRa,23880730,3.289427271,0.671993444,3.472997576,3.645574406,1,0,0,0,0,0,0,0,1,1,NO,W,NA,NA,NO,DEQ
