Use_FINAL,Rationale,act_id,MLocID,StationDes,GNIS_Name,SampleStart_Date,tot.abund,Latitude,Longitude,AU_ID,EcoRegion3,EcoRegion2,Reachcode,Measure,ELEV_Ft,COMID,Nearby_COMID,ReferenceSite,Name,Description
Y,,30365-ORDEQ:20030701:R:SR,30365-ORDEQ,Beaver Creek,Beaver Creek,07/01/2003,532,45.52161313,-122.3883818,OR_SR_1708000107_02_103612,3,MARINE WEST COAST FOREST,17080001000648,74.618549999999999,189,23737123,,MOST DISTURBED,30365-ORDEQ,Beaver Creek
Y,,31401-ORDEQ:20040823:R:SR,31401-ORDEQ,Beaver Creek,Beaver Creek,08/23/2004,672,46.10392018,-123.1427984,OR_WS_170800030406_05_103657,1,MARINE WEST COAST FOREST,17080003000054,42.194989999999997,112,24520402,,MOST DISTURBED,31401-ORDEQ,Beaver Creek
Y,,29989-ORDEQ:20030825:R:SR,29989-ORDEQ,Beaver Creek (Pudding),Beaver Creek,08/25/2003,576,44.92448679,-122.7915716,OR_WS_170900090101_02_104454,3,MARINE WEST COAST FOREST,17090009000517,71.798429999999996,596,23801728,,MOST DISTURBED,29989-ORDEQ,Beaver Creek (Pudding)
Y,,130068,PIBO:1434,Big,NULL,09/07/2005,797,45.004305,-117.583154,OR_SR_1705020307_05_102822,11,WESTERN CORDILLERA,17050203000213,80.69,3629,24207967,,MOST DISTURBED,PIBO:1434,Big
N,,146615,PIBO:1434,Big,NULL,08/03/2010,728,45.004305,-117.583154,OR_SR_1705020307_05_102822,11,WESTERN CORDILLERA,17050203000213,80.69,3629,24207967,,MOST DISTURBED,PIBO:1434,Big
N,,156884,PIBO:1434,Big,NULL,08/15/2015,521,45.004305,-117.583154,OR_SR_1705020307_05_102822,11,WESTERN CORDILLERA,17050203000213,80.69,3629,24207967,,MOST DISTURBED,PIBO:1434,Big
N,,31400-ORDEQ:20040816:R:QCLR,31400-ORDEQ,Big Creek by Kappa Slough,Big Creek,08/16/2004,717,46.16763463,-123.5924142,OR_SR_1708000601_05_103685,1,MARINE WEST COAST FOREST,17080006000095,45.50226,30,23832931,,MOST DISTURBED,31400-ORDEQ,Big Creek by Kappa Slough
Y,,31400-ORDEQ:20040816:R:SR,31400-ORDEQ,Big Creek by Kappa Slough,Big Creek,08/16/2004,696,46.16763463,-123.5924142,OR_SR_1708000601_05_103685,1,MARINE WEST COAST FOREST,17080006000095,45.50226,30,23832931,,MOST DISTURBED,31400-ORDEQ,Big Creek by Kappa Slough
Y,,37176-ORDEQ:20120723:R:SR,37176-ORDEQ,Big Elk Creek at 1040 ft. elevation,NULL,07/23/2012,517,44.50255861,-123.6079133,OR_WS_171002040201_02_106128,1,MARINE WEST COAST FOREST,17100204000755,43.655889999999999,1011,23882194,,MOST DISTURBED,37176-ORDEQ,Big Elk Creek at 1040 ft. elevation
N,,127158,ORBDR0019,Boulder Creek,Boulder Creek,07/06/2004,392,42.18693,-124.03843,OR_WS_171003120106_02_106327,78,WESTERN CORDILLERA,17100312000091,47.416719530000002,2345,23949707,,MOST DISTURBED,ORBDR0019,Boulder Creek
Y,,149517,ORBDR0019,Boulder Creek,Boulder Creek,07/10/2012,808,42.18693,-124.03843,OR_WS_171003120106_02_106327,78,WESTERN CORDILLERA,17100312000091,47.416719530000002,2345,23949707,,MOST DISTURBED,ORBDR0019,Boulder Creek
N,,173220,ORBDR0019,Boulder Creek,Boulder Creek,07/26/2020,641,42.18693,-124.03843,OR_WS_171003120106_02_106327,78,WESTERN CORDILLERA,17100312000091,47.416719530000002,2345,23949707,,MOST DISTURBED,ORBDR0019,Boulder Creek
Y,,23040-ORDEQ:19990824:R:SR,23040-ORDEQ,Bridge Creek at lower end fish screen,Bridge Creek Canal,08/24/1999,310,42.8637482,-118.884533,OR_WS_171200030203_05_106595,80,COLD DESERTS,17120003001066,74.535989999999998,4170,24013743,,MOST DISTURBED,23040-ORDEQ,Bridge Creek at lower end fish screen
Y,,171857,BO-RV-1026,BURNT RIVER,Burnt River,09/18/2019,616,44.547625,-117.687601,OR_SR_1705020206_05_102809,11,WESTERN CORDILLERA,17050202000108,13.97,3220,24200077,,MOST DISTURBED,BO-RV-1026,BURNT RIVER
N,,37128-ORDEQ:20180814:R:SR,37128-ORDEQ,"Burnt River at Lime, OR (DEQ)",Burnt River,08/14/2018,575,44.41086134,-117.3077511,OR_SR_1705020208_05_102810,11,WESTERN CORDILLERA,17050202000023,20.41386,2235,24199905,,MOST DISTURBED,37128-ORDEQ,"Burnt River at Lime, OR (DEQ)"
Y,,11494-ORDEQ:20180814:R:SR,11494-ORDEQ,Burnt River at Snake River Road (Huntington),Burnt River,08/14/2018,562,44.35672116,-117.2528911,OR_SR_1705020208_05_102810,11,WESTERN CORDILLERA,17050202000015,27.087769999999999,2086,24199889,,MOST DISTURBED,11494-ORDEQ,Burnt River at Snake River Road (Huntington)
N,,36195-ORDEQ:20180918:R:SR,36195-ORDEQ,Burnt River at Unity Reservoir Dam,Burnt River,09/18/2018,574,44.50365486,-118.1773179,OR_SR_1705020204_05_102803,11,WESTERN CORDILLERA,17050202000179,67.223420000000004,3759,24200221,,MOST DISTURBED,36195-ORDEQ,Burnt River at Unity Reservoir Dam
Y,,37727-ORDEQ:20180831:R:SR,37727-ORDEQ,Burnt River North Fork Above First Cr,North Fork Burnt River,08/31/2018,538,44.58359389,-118.2312608,OR_SR_1705020201_05_102800,11,WESTERN CORDILLERA,17050202000192,18.062560000000001,3979,24200259,,MOST DISTURBED,37727-ORDEQ,Burnt River North Fork Above First Cr
Y,,33505-ORDEQ:20060726:R:SR,33505-ORDEQ,Calapooia River,Calapooia River,07/26/2006,594,44.39318931,-122.9904033,OR_SR_1709000303_02_103816,3,MARINE WEST COAST FOREST,17090003000419,85.631550000000004,314,23763585,,MOST DISTURBED,33505-ORDEQ,Calapooia River
N,,151154,ORLCB0015,CARBERRY CREEK,Carberry Creek,08/18/2013,684,42.069312,-123.1766639,OR_SR_1710030901_02_105596,78,WESTERN CORDILLERA,17100309000142,12.01,2352,23936063,,MOST DISTURBED,ORLCB0015,CARBERRY CREEK
Y,,151252,ORLCB0015,CARBERRY CREEK,Carberry Creek,08/18/2013,690,42.069312,-123.1766639,OR_SR_1710030901_02_105596,78,WESTERN CORDILLERA,17100309000142,12.01,2352,23936063,,MOST DISTURBED,ORLCB0015,CARBERRY CREEK
Y,,21841-ORDEQ:19990820:R:SR,21841-ORDEQ,Carpenter Creek at River Mile 1.73,Carpenter Creek,08/20/1999,116,45.508128,-123.125125,OR_WS_170900100205_02_104496,3,MARINE WEST COAST FOREST,17090010000388,75.234300000000005,170,23805720,,MOST DISTURBED,21841-ORDEQ,Carpenter Creek at River Mile 1.73
Y,,25381-ORDEQ:20010703:T:SR,25381-ORDEQ,Chehalem Creek tributary,NULL,07/03/2001,593,45.33695533,-123.0549076,OR_WS_170900070306_02_104417,3,MARINE WEST COAST FOREST,17090007000046,58.539209999999997,195,23791039,,MOST DISTURBED,25381-ORDEQ,Chehalem Creek tributary
N,,33488-ORDEQ:20060802:R:SR,33488-ORDEQ,Claggett Creek,Claggett Creek,08/02/2006,529,44.99041812,-123.0147807,OR_WS_170900070303_02_104415,3,MARINE WEST COAST FOREST,17090007000466,60.471139999999998,125,23792103,,MOST DISTURBED,33488-ORDEQ,Claggett Creek
Y,,33525-ORDEQ:20060803:R:SR,33525-ORDEQ,Claggett Creek,Claggett Creek,08/03/2006,605,44.9761142,-123.0016294,OR_WS_170900070303_02_104415,3,MARINE WEST COAST FOREST,17090007000465,26.761130000000001,149,23792105,,MOST DISTURBED,33525-ORDEQ,Claggett Creek
Y,,33512-ORDEQ:20060808:R:SR,33512-ORDEQ,"Clark Creek, Salem",Clark Creek,08/08/2006,935,44.9203815,-123.0348308,OR_WS_170900070301_02_104413,3,MARINE WEST COAST FOREST,17090007004819,16.903230000000001,174,23792275,,MOST DISTURBED,33512-ORDEQ,"Clark Creek, Salem"
Y,,24135-ORDEQ:20000814:R:SR,24135-ORDEQ,Clear Cr. (near Red Boy Mine),Clear Creek,08/14/2000,553,44.79807255,-118.4725053,OR_SR_1707020202_05_101571,11,WESTERN CORDILLERA,17070202000217,44.91263,4605,23671077,,MOST DISTURBED,24135-ORDEQ,Clear Cr. (near Red Boy Mine)
N,,24135-ORDEQ:20000814:R:QCLR,24135-ORDEQ,Clear Cr. (near Red Boy Mine),Clear Creek,08/14/2000,585,44.79807255,-118.4725053,OR_SR_1707020202_05_101571,11,WESTERN CORDILLERA,17070202000217,44.91263,4605,23671077,,MOST DISTURBED,24135-ORDEQ,Clear Cr. (near Red Boy Mine)
Y,,29986-ORDEQ:20030715:R:SR,29986-ORDEQ,Coal Creek,Coal Creek,07/15/2003,605,44.45247674,-122.5979339,OR_WS_170900060402_02_104383,4,WESTERN CORDILLERA,17090006000806,91.246809999999996,1595,23787003,,MOST DISTURBED,29986-ORDEQ,Coal Creek
N,,29986-ORDEQ:20030902:R:SR,29986-ORDEQ,Coal Creek,Coal Creek,09/02/2003,521,44.45247674,-122.5979339,OR_WS_170900060402_02_104383,4,WESTERN CORDILLERA,17090006000806,91.246809999999996,1595,23787003,,MOST DISTURBED,29986-ORDEQ,Coal Creek
N,,25356-ORDEQ:20010705:R:SR,25356-ORDEQ,Coal Creek,Coal Creek,07/05/2001,334,44.97327886,-122.5075165,OR_WS_170900090202_02_104465,4,WESTERN CORDILLERA,17090009000236,80.746120000000005,2151,23800998,,MOST DISTURBED,25356-ORDEQ,Coal Creek
Y,,25356-ORDEQ:20010905:R:SR,25356-ORDEQ,Coal Creek,Coal Creek,09/05/2001,624,44.97327886,-122.5075165,OR_WS_170900090202_02_104465,4,WESTERN CORDILLERA,17090009000236,80.746120000000005,2151,23800998,,MOST DISTURBED,25356-ORDEQ,Coal Creek
Y,,33830-ORDEQ:20060821:T:SR,33830-ORDEQ,Coast Fork / Main Channel Willamette,Coast Fork Willamette River,08/21/2006,576,44.02316321,-123.02194,OR_SR_1709000204_02_103787,3,MARINE WEST COAST FOREST,17090001020927,11.30832,438,23759222,,MOST DISTURBED,33830-ORDEQ,Coast Fork / Main Channel Willamette
Y,,31534-ORDEQ:20040608:R:SR,31534-ORDEQ,Cottonwood Creek downstream of Little Indian Creek,Cottonwood Creek,06/08/2004,609,42.01239692,-117.9343795,OR_WS_160402010206_05_102657,80,COLD DESERTS,16040201000351,82.557019999999994,4825,11846171,,MOST DISTURBED,31534-ORDEQ,Cottonwood Creek downstream of Little Indian Creek
Y,,33888-ORDEQ:20060911:R:SR,33888-ORDEQ,Crab Tree Creek at River Mile 21.5,Crabtree Creek,09/11/2006,564,44.60033073,-122.6886198,OR_SR_1709000606_02_103978,4,WESTERN CORDILLERA,17090006000262,1.8492900000000001,647,23786189,,MOST DISTURBED,33888-ORDEQ,Crab Tree Creek at River Mile 21.5
Y,,33485-ORDEQ:20060801:R:SR,33485-ORDEQ,Croisan Creek,Croisan Creek,08/01/2006,175,44.87714558,-123.0854176,OR_WS_170900070301_02_104413,3,MARINE WEST COAST FOREST,17090007000659,4.5348699999999997,465,23792615,,MOST DISTURBED,33485-ORDEQ,Croisan Creek
N,,167702,MN-RO-1082,Crooked River,Crooked River,09/27/2017,805,44.20248,-120.87611,OR_SR_1707030501_02_101787,11,WESTERN CORDILLERA,17070305000038,44.2,2927,23713964,,MOST DISTURBED,MN-RO-1082,Crooked River
Y,,32609-ORDEQ:20050919:R:SR,32609-ORDEQ,Crooked River at Cobble Rock (Lower Crooked),Crooked River,09/19/2005,537,44.12759716,-120.8109546,OR_SR_1707030501_02_101787,11,WESTERN CORDILLERA,17070305000039,93.535939999999997,3040,23713966,,MOST DISTURBED,32609-ORDEQ,Crooked River at Cobble Rock (Lower Crooked)
Y,,16997-ORDEQ:19980727:R:SR,16997-ORDEQ,Crooked River at Hwy 126 Bridge,Crooked River,07/27/1998,414,44.30194793,-120.8617034,OR_SR_1707030510_02_101806,11,WESTERN CORDILLERA,17070305000034,47.265059999999998,2840,23713956,,MOST DISTURBED,16997-ORDEQ,Crooked River at Hwy 126 Bridge
N,non-wadeable,32616-ORDEQ:20050919:R:SR,32616-ORDEQ,Crooked River at Smith Rocks (Lower Crooked),Crooked River,09/19/2005,557,44.36671044,-121.1472142,OR_SR_1707030511_02_101810,11,WESTERN CORDILLERA,17070305000668,21.933009999999999,2634,23715338,,MOST DISTURBED,32616-ORDEQ,Crooked River at Smith Rocks (Lower Crooked)
N,,32615-ORDEQ:20050919:R:SR,32615-ORDEQ,Crooked River downstream of Stillwater (Lower Crooked),Crooked River,09/19/2005,591,44.14748954,-120.8263389,OR_SR_1707030501_02_101787,11,WESTERN CORDILLERA,17070305000039,48.453310000000002,2983,23713966,,MOST DISTURBED,32615-ORDEQ,Crooked River downstream of Stillwater (Lower Crooked)
Y,,32608-ORDEQ:20050922:R:SR,32608-ORDEQ,Crooked River near Post,Crooked River,09/22/2005,700,44.17518682,-120.5661973,OR_SR_1707030406_02_101771,11,WESTERN CORDILLERA,17070304001212,86.509069999999994,3267,24515622,,MOST DISTURBED,32608-ORDEQ,Crooked River near Post
N,,32602-ORDEQ:20050919:R:SR,32602-ORDEQ,Crooked River near Prineville WWTP (Lower Crooked),Crooked River,09/19/2005,648,44.30944743,-120.8691824,OR_SR_1707030510_02_101806,11,WESTERN CORDILLERA,17070305000034,33.145710000000001,2840,23713956,,MOST DISTURBED,32602-ORDEQ,Crooked River near Prineville WWTP (Lower Crooked)
N,,171926,LL-RV-1034,DEEP CREEK,Deep Creek,09/22/2019,816,42.17178,-120.050275,OR_SR_1712000703_05_106501,80,COLD DESERTS,17120007000226,50.08,5368,24042775,,MOST DISTURBED,LL-RV-1034,DEEP CREEK
N,NOT MOST DISTURBED,24063-ORDEQ:20000816:R:SR,24063-ORDEQ,Deschutes River at Steelhead Falls (Deschutes),Deschutes River,08/16/2000,595,44.41670713,-121.2898337,OR_SR_1707030108_02_102627,11,WESTERN CORDILLERA,17070301000139,56.281680000000001,2279,23700321,,MOST DISTURBED,24063-ORDEQ,Deschutes River at Steelhead Falls (Deschutes)
N,,126628,PIBO:1110,Ditch Creek,Ditch Creek,06/29/2004,340,44.957183,-119.34197,OR_SR_1707020207_05_101592,11,WESTERN CORDILLERA,17070202000423,30.38132791,2781,23671519,,MOST DISTURBED,PIBO:1110,Ditch Creek
N,,143164,PIBO:1110,Ditch Creek,Ditch Creek,06/15/2009,84,44.957183,-119.34197,OR_SR_1707020207_05_101592,11,WESTERN CORDILLERA,17070202000423,30.38132791,2781,23671519,,MOST DISTURBED,PIBO:1110,Ditch Creek
N,,154189,PIBO:1110,Ditch Creek,Ditch Creek,07/03/2014,622,44.957183,-119.34197,OR_SR_1707020207_05_101592,11,WESTERN CORDILLERA,17070202000423,30.38132791,2781,23671519,,MOST DISTURBED,PIBO:1110,Ditch Creek
Y,,26934-ORDEQ:20020716:R:SR,26934-ORDEQ,Ditch Creek,NULL,07/16/2002,512,45.05058733,-119.3507825,OR_SR_1707020207_05_101592,11,WESTERN CORDILLERA,17070202000424,15.301119999999999,3880,23671521,,MOST DISTURBED,26934-ORDEQ,Ditch Creek
N,,26934-ORDEQ:20020716:T:SR,26934-ORDEQ,Ditch Creek,NULL,07/16/2002,531,45.05058733,-119.3507825,OR_SR_1707020207_05_101592,11,WESTERN CORDILLERA,17070202000424,15.301119999999999,3880,23671521,,MOST DISTURBED,26934-ORDEQ,Ditch Creek
N,,25385-ORDEQ:20010802:T:SR,25385-ORDEQ,Drift Creek,Drift Creek,08/02/2001,496,44.96585466,-122.7961065,OR_SR_1709000901_02_104069,3,MARINE WEST COAST FOREST,17090009000076,87.731530000000006,287,23800674,,MOST DISTURBED,25385-ORDEQ,Drift Creek
N,,25385-ORDEQ:20010802:R:SR,25385-ORDEQ,Drift Creek,Drift Creek,08/02/2001,507,44.96585466,-122.7961065,OR_SR_1709000901_02_104069,3,MARINE WEST COAST FOREST,17090009000076,87.731530000000006,287,23800674,,MOST DISTURBED,25385-ORDEQ,Drift Creek
Y,,23864-ORDEQ:20000706:R:SR,23864-ORDEQ,"Drift Creek at River Mile 2.5 (Pudding, Willamette)",Drift Creek,07/06/2000,532,44.96615542,-122.7962959,OR_SR_1709000901_02_104069,3,MARINE WEST COAST FOREST,17090009000076,86.945059999999998,285,23800674,,MOST DISTURBED,23864-ORDEQ,"Drift Creek at River Mile 2.5 (Pudding, Willamette)"
Y,,33521-ORDEQ:20060731:R:SR,33521-ORDEQ,Dunawi Creek,Dunawi Creek,07/31/2006,618,44.550333,-123.292263,OR_WS_170900030211_02_104263,3,MARINE WEST COAST FOREST,17090003000892,98.902879999999996,227,23764715,,MOST DISTURBED,33521-ORDEQ,Dunawi Creek
Y,,37336-ORDEQ:20180808:R:SR,37336-ORDEQ,"Eagle Creek at New Bridge, OR",Eagle Creek,08/08/2018,526,44.80170888,-117.1943841,OR_SR_1705020310_05_102830,11,WESTERN CORDILLERA,17050203000060,40.068100000000001,2336,24207647,,MOST DISTURBED,37336-ORDEQ,"Eagle Creek at New Bridge, OR"
Y,,33905-ORDEQ:20060905:R:SR,33905-ORDEQ,Eagle Creek at River Mile 2.0,Eagle Creek,09/05/2006,564,45.34482173,-122.3555948,OR_SR_1709001105_02_104163,3,MARINE WEST COAST FOREST,17090011005324,5.4105999999999996,256,23809520,,MOST DISTURBED,33905-ORDEQ,Eagle Creek at River Mile 2.0
Y,,34846-ORDEQ:20080604:R:SR,34846-ORDEQ,East Drew Creek down stream site at RM 0.77,NULL,06/04/2008,924,44.14939,-123.2472371,OR_WS_170900030108_02_104250,3,MARINE WEST COAST FOREST,17090003014327,16.759630000000001,343,NULL,23765365,MOST DISTURBED,34846-ORDEQ,East Drew Creek down stream site at RM 0.77
Y,,13138-ORDEQ:20000705:R:SR,13138-ORDEQ,East Fork Hood River at County Gravel Pit (River Mile 0.75),East Fork Hood River,07/05/2000,650,45.57040173,-121.6158379,OR_SR_1707010505_02_101508,9,WESTERN CORDILLERA,17070105000102,25.436299999999999,1051,24504424,,MOST DISTURBED,13138-ORDEQ,East Fork Hood River at County Gravel Pit (River Mile 0.75)
N,,13138-ORDEQ:20000705:R:QCFR,13138-ORDEQ,East Fork Hood River at County Gravel Pit (River Mile 0.75),East Fork Hood River,07/05/2000,705,45.57040173,-121.6158379,OR_SR_1707010505_02_101508,9,WESTERN CORDILLERA,17070105000102,25.436299999999999,1051,24504424,,MOST DISTURBED,13138-ORDEQ,East Fork Hood River at County Gravel Pit (River Mile 0.75)
N,,13138-ORDEQ:20020619:R:SR,13138-ORDEQ,East Fork Hood River at County Gravel Pit (River Mile 0.75),East Fork Hood River,06/19/2002,485,45.57040173,-121.6158379,OR_SR_1707010505_02_101508,9,WESTERN CORDILLERA,17070105000102,25.436299999999999,1051,24504424,,MOST DISTURBED,13138-ORDEQ,East Fork Hood River at County Gravel Pit (River Mile 0.75)
Y,,28337-ORDEQ:20160919:R:SR,28337-ORDEQ,Eightmile Creek at mouth (confluence with Fifteenmile Creek),Eightmile Creek,09/19/2016,548,45.6064332,-121.0862157,OR_SR_1707010502_02_101504,10,COLD DESERTS,17070105000171,0.13403999999999999,250,24504568,,MOST DISTURBED,28337-ORDEQ,Eightmile Creek at mouth (confluence with Fifteenmile Creek)
N,,28974-ORDEQ:20160920:R:SR,28974-ORDEQ,Eightmile Creek downstream of County Bridge,Eightmile Creek,09/20/2016,549,45.56023695,-121.0585936,OR_WS_170701050204_02_101983,10,COLD DESERTS,17070105000189,90.531189999999995,571,24504608,,MOST DISTURBED,28974-ORDEQ,Eightmile Creek downstream of County Bridge
N,,dfw_6765:20080813:R:SR,dfw_6765,Elk Cr,Elk Creek,08/13/2008,557,43.79626515,-123.4378941,OR_WS_171003030601_02_105295,1,MARINE WEST COAST FOREST,17100303000641,36.100180000000002,774,24527950,,MOST DISTURBED,dfw_6765,Elk Cr
N,,35727-ORDEQ:19980728:R:SR-1,35727-ORDEQ,ELK CR AT RM 4.3,Elk Creek,07/28/1998,381,42.89000437,-122.9170434,OR_SR_1710030204_02_105390,4,WESTERN CORDILLERA,17100302000318,5.1215900000000003,1288,23901535,,MOST DISTURBED,35727-ORDEQ,ELK CR AT RM 4.3
N,,35727-ORDEQ:19980728:R:SR-2,35727-ORDEQ,ELK CR AT RM 4.3,Elk Creek,07/28/1998,191,42.89000437,-122.9170434,OR_SR_1710030204_02_105390,4,WESTERN CORDILLERA,17100302000318,5.1215900000000003,1288,23901535,,MOST DISTURBED,35727-ORDEQ,ELK CR AT RM 4.3
Y,,35727-ORDEQ:19980728:R:SR-3,35727-ORDEQ,ELK CR AT RM 4.3,Elk Creek,07/28/1998,597,42.89000437,-122.9170434,OR_SR_1710030204_02_105390,4,WESTERN CORDILLERA,17100302000318,5.1215900000000003,1288,23901535,,MOST DISTURBED,35727-ORDEQ,ELK CR AT RM 4.3
N,,33425-ORDEQ:20060814:R:SR,33425-ORDEQ,Elk Creek 3 (ODFW),Elk Creek,08/14/2006,255,43.790935,-123.4395253,OR_WS_171003030601_02_105295,1,MARINE WEST COAST FOREST,17100303000641,19.23226,740,24527950,,MOST DISTURBED,33425-ORDEQ,Elk Creek 3 (ODFW)
Y,,33425-ORDEQ:20060814:R:QCFR,33425-ORDEQ,Elk Creek 3 (ODFW),Elk Creek,08/14/2006,426,43.790935,-123.4395253,OR_WS_171003030601_02_105295,1,MARINE WEST COAST FOREST,17100303000641,19.23226,740,24527950,,MOST DISTURBED,33425-ORDEQ,Elk Creek 3 (ODFW)
N,,25124-ORDEQ:20010606:R:SR,25124-ORDEQ,Evans Creek at bridge (Baseline Road),Evans Creek,06/06/2001,1120,45.51954473,-121.5793111,OR_WS_170701050506_02_102001,9,WESTERN CORDILLERA,17070105001557,9.1648300000000003,1680,24507634,,MOST DISTURBED,25124-ORDEQ,Evans Creek at bridge (Baseline Road)
N,,25124-ORDEQ:20010606:R:QCFR,25124-ORDEQ,Evans Creek at bridge (Baseline Road),Evans Creek,06/06/2001,214,45.51954473,-121.5793111,OR_WS_170701050506_02_102001,9,WESTERN CORDILLERA,17070105001557,9.1648300000000003,1680,24507634,,MOST DISTURBED,25124-ORDEQ,Evans Creek at bridge (Baseline Road)
N,,25124-ORDEQ:20010710:R:SR,25124-ORDEQ,Evans Creek at bridge (Baseline Road),Evans Creek,07/10/2001,143,45.51954473,-121.5793111,OR_WS_170701050506_02_102001,9,WESTERN CORDILLERA,17070105001557,9.1648300000000003,1680,24507634,,MOST DISTURBED,25124-ORDEQ,Evans Creek at bridge (Baseline Road)
