"","V1"
"x_Becks_resid",-10.4736337100783
"x_Becks3_resid",-9.39906392030002
"x_HBI_resid",9.39068379333574
"x_HBI2_resid",2.97767406564584
"x_Shan_e_resid",-6.6251752346898
"x_Shan_2_resid",-7.04471593235649
"x_Shan_10_resid",-7.02987367309861
"x_D_resid",-4.77837154882995
"x_D_G_resid",-8.21740211467405
"x_D_Mg_resid",-8.18987713171186
"x_Evenness_resid",-4.8922537768245
"nt_habitat_brac_resid",1.52001567302412
"nt_habitat_depo_resid",-4.2903193491333
"nt_habitat_gene_resid",3.78879206694849
"nt_habitat_head_resid",-0.732280316362593
"nt_habitat_rheo_resid",-9.79607467351937
"nt_habitat_rive_resid",2.21306851928204
"nt_habitat_spec_resid",-2.76781653771717
"pi_habitat_brac_resid",1.0274612407462
"pi_habitat_depo_resid",1.35435271599316
"pi_habitat_gene_resid",2.8040618986167
"pi_habitat_head_resid",-0.428027783482933
"pi_habitat_rheo_resid",-3.34952912540038
"pi_habitat_rive_resid",1.89673147379622
"pi_habitat_spec_resid",-2.624918069645
"pi_habitat_unkn_resid",-2.16579959342439
"pt_habitat_brac_resid",1.41693991968527
"pt_habitat_depo_resid",-0.974346052146985
"pt_habitat_gene_resid",8.03727891952521
"pt_habitat_head_resid",0.509218841159085
"pt_habitat_rheo_resid",-7.65798374540471
"pt_habitat_rive_resid",2.4515422741882
"pt_habitat_spec_resid",-1.07362643119263
"nfam_Coleo_resid",-4.18455566422586
"nfam_Ephem_resid",-4.4179108440083
"nfam_Odon_resid",-0.36655377753188
"nfam_Trich_resid",-9.96355095767493
"ngen_Coleo_resid",-6.7316150297083
"ngen_Ephem_resid",-4.01907129124477
"ngen_Odon_resid",-0.528127199519833
"ngen_Trich_resid",-8.79346355584019
"ngen_Elmid_resid",-7.59944364570515
"nt_oneind_resid",-7.00713509847615
"pt_oneind_resid",-1.86296569114221
"nt_dni_resid",NA
"pi_dni_resid",NA
"pt_dni_resid",NA
"ni_Dipt_resid",0.874782875023723
