Taxon_Group,Taxon,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI
Ephemeroptera,Diphetor,FALSE,Single species in genus,Diphetor hageni,Diphetor hageni,Diphetor hageni,Diphetor hageni
Ephemeroptera,Diphetor hageni,FALSE,Single species in genus,Diphetor hageni,Diphetor hageni,Diphetor hageni,Diphetor hageni
Ephemeroptera,Diphetor/Fallceon,FALSE,,DNI,Baetidae,Baetidae,DNI
Trichoptera,Diplex,TRUE,????  BAD ID?????,DNI,DNI,DNI,DNI
Chironomidae,Diplocladius,FALSE,,Diplocladius,Diplocladius,Diplocladius,Diplocladius
Chironomidae,Diplocladius cultriger,FALSE,,Diplocladius,Diplocladius,Diplocladius,Diplocladius
Plecoptera,Diploperla,FALSE,,DNI,Perlodidae,Perlodidae,DNI
Diptera,Diptera,FALSE,,DNI,Diptera,Diptera,DNI
Plecoptera,Diura,FALSE,,DNI,Diura,Diura,DNI
Plecoptera,Diura knowltoni,FALSE,,DNI,Diura,Diura,DNI
Diptera,Dixa,FALSE,,Dixa,Dixa,Dixa,Dixa
Diptera,Dixella,FALSE,,Dixella,Dixella,Dixella,Dixella
Diptera,Dixidae,FALSE,,DNI,Dixidae,Dixidae,DNI
,Doddsia,FALSE,,Taeniopterygidae,Taeniopterygidae,Taeniopterygidae,Taeniopterygidae
,Doddsia occidentalis,FALSE,,Taeniopterygidae,Taeniopterygidae,Taeniopterygidae,Taeniopterygidae
Diptera,Dolichopodidae,FALSE,,DNI,Dolichopodidae,Dolichopodidae,DNI
Trichoptera,Dolophilodes,FALSE,,Dolophilodes,Dolophilodes,Dolophilodes,Dolophilodes
Trichoptera,Dolophilodes/Sisko,FALSE,,Dolophilodes,Dolophilodes,Dolophilodes,Dolophilodes
Chironomidae,Doncricotopus,FALSE,,DNI,Doncricotopus,Doncricotopus,DNI
Chironomidae,Doncricotopus bicaudatus,FALSE,,DNI,Doncricotopus,Doncricotopus,DNI
Plecoptera,Doroneuria,FALSE,,Doroneuria,Doroneuria,Doroneuria,Doroneuria
Plecoptera,Doroneuria baumanni,FALSE,,Doroneuria,Doroneuria,Doroneuria,Doroneuria
Plecoptera,Doroneuria theodora,FALSE,,Doroneuria,Doroneuria,Doroneuria,Doroneuria
Ephemeroptera,Drunella,FALSE,,DNI,Drunella,Drunella,DNI
Ephemeroptera,Drunella coloradensis,FALSE,Formatting and consistency,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea
Ephemeroptera,Drunella coloradensis/flavilinea,FALSE,Formatting and consistency,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea
Ephemeroptera,Drunella doddsii,FALSE,note some older data may have 'doddsi',Drunella doddsii,Drunella doddsii,Drunella doddsii,Drunella doddsii
Ephemeroptera,Drunella flavilinea,FALSE,Formatting and consistency,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea
Ephemeroptera,Drunella flavilinea/coloradensis,FALSE,Formatting and consistency,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea,Drunella coloradensis/flavilinea
Ephemeroptera,Drunella grandis,FALSE,Formatting and consistency,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera
Ephemeroptera,Drunella grandis flavitincta,FALSE,Formatting and consistency,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera
Ephemeroptera,Drunella grandis grandis,FALSE,Formatting and consistency,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera
Ephemeroptera,Drunella grandis/spinifera,FALSE,Formatting and consistency,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera
Ephemeroptera,Drunella pelosa,FALSE,,DNI,Drunella pelosa,Drunella pelosa,DNI
Ephemeroptera,Drunella spinifera,FALSE,Formatting and consistency,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera,Drunella grandis/spinifera
Coleoptera,Dryopidae,FALSE,,DNI,Dryopidae,Dryopidae,DNI
Coleoptera,Dubiraphia,FALSE,,Dubiraphia,Dubiraphia,Dubiraphia,Dubiraphia
Coleoptera,Dubiraphia giulianii,FALSE,,Dubiraphia,Dubiraphia,Dubiraphia,Dubiraphia
Coleoptera,Dubiraphia vittata,FALSE,,Dubiraphia,Dubiraphia,Dubiraphia,Dubiraphia
Megaloptera,Dysmicohermes,FALSE,Single species in genus,Corydalidae,Dysmicohermes,Dysmicohermes,Corydalidae
Megaloptera,Dysmicohermes disjunctus,FALSE,Single species in genus,Corydalidae,Dysmicohermes,Dysmicohermes,Corydalidae
Coleoptera,Dytiscidae,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Coleoptera,Dytiscidae - adult,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Coleoptera,Dytiscidae - larvae,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Coleoptera,Dytiscus,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Coleoptera,Dytiscus cordieri,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Coleoptera,Dytiscus dauricus,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Coleoptera,Dytiscus fasciventrus,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Coleoptera,Dytiscus marginicollis,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Trichoptera,Ecclisocosmoecus,FALSE,single species in genus,Ecclisocosmoecus scylla,Ecclisocosmoecus scylla,Ecclisocosmoecus scylla,Ecclisocosmoecus scylla
Trichoptera,Ecclisocosmoecus scylla,FALSE,single species in genus,Ecclisocosmoecus scylla,Ecclisocosmoecus scylla,Ecclisocosmoecus scylla,Ecclisocosmoecus scylla
Trichoptera,Ecclisomyia,FALSE,,Ecclisomyia,Ecclisomyia,Ecclisomyia,Ecclisomyia
Ephemeroptera,Ecdyonurus,FALSE,,Afghanurus,Afghanurus,Afghanurus,Afghanurus
Ephemeroptera,Ecdyonurus criddlei,FALSE,,Afghanurus,Afghanurus criddlei,Afghanurus criddlei,Afghanurus
Ephemeroptera,Ecdyonurus/Nixe,FALSE,,Afghanurus,Afghanurus,Afghanurus,Afghanurus
Oligochaeta,Eclipidrilus,FALSE,,Lumbriculidae,Eclipidrilus,Oligochaeta,Lumbriculidae
Diptera,Ectemnia,FALSE,,DNI,Ectemnia,Ectemnia,DNI
Coleoptera,Ectopria,TRUE,"Dubious ID, known from Eastern half of country",DNI,DNI,DNI,DNI
,Einfeldia,FALSE,,DNI,Chironomini,Chironomini,DNI
Terrestrial,Eiseniella tetraedra,TRUE,Mostly Terrestrial,DNI,DNI,DNI,DNI
,Ellipteriodes,FALSE,spelling error,DNI,Ellipteroides,Ellipteroides,DNI
Diptera,Ellipteroides,FALSE,,DNI,Ellipteroides,Ellipteroides,DNI
Coleoptera,Elmidae,FALSE,,DNI,Elmidae,Elmidae,DNI
Coleoptera,Elmidae sp. AJF#01,FALSE,,DNI,Elmidae,Elmidae,DNI
Coleoptera,Elmidae sp. AJF#02,FALSE,,DNI,Elmidae,Elmidae,DNI
Coleoptera,Elminae,FALSE,,DNI,Elmidae,Elmidae,DNI
Coleoptera,Elodes,FALSE,,DNI,Scirtidae,Scirtidae,DNI
Diptera,Eloeophila,FALSE,,Eloeophila,Eloeophila,Eloeophila,Eloeophila
Diptera,Empididae,FALSE,,DNI,Empididae,Empididae,DNI
Diptera,Empididae Genus A,FALSE,,DNI,Empididae Genus A,Empididae Genus A,DNI
Diptera,Empididae Genus B,FALSE,,Proclinopyga,Proclinopyga,Proclinopyga,DNI
Diptera,Empididae Genus B (Clinocerinae),FALSE,Proclinopyga,Proclinopyga,Proclinopyga,Proclinopyga,DNI
Diptera,Empididae sp. (RAI Taxon # 0001),FALSE,Proclinopyga,Proclinopyga,Proclinopyga,Proclinopyga,DNI
Diptera,Empididae sp. (RAI Taxon # 0002),FALSE,,DNI,Empididae Genus A,Empididae Genus A,DNI
Diptera,Empididae sp. AJF#01,FALSE,,DNI,Empididae,Empididae,DNI
Diptera,Empididae sp. AJF#02,FALSE,,DNI,Empididae,Empididae,DNI
Diptera,Empididae sp. QNR#01,FALSE,,DNI,Empididae,Empididae,DNI
Diptera,Empididae sp. RAI # 0001,FALSE,Proclinopyga,Proclinopyga,Proclinopyga,Proclinopyga,DNI
Diptera,Empididae sp. RAI # 0002,FALSE,,DNI,Empididae Genus A,Empididae Genus A,DNI
Diptera,Empididae unknown,FALSE,,DNI,Empididae,Empididae,DNI
Diptera,Empididae-pupae,FALSE,,DNI,Empididae,Empididae,DNI
Odonata,Enallagma,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Odonata,Enallagma boreale,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Odonata,Enallagma/Ischnura,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Oligochaeta,Enchytraeidae,FALSE,,DNI,Enchytraeidae,Oligochaeta,DNI
Oligochaeta,Enchytraeus,FALSE,,Enchytraeus,Enchytraeus,Oligochaeta,Enchytraeus
Chironomidae,Endochironomus,FALSE,,DNI,Endochironomus,Endochironomus,DNI
Chironomidae,Endotribelos,FALSE,,DNI,Endotribelos,Endotribelos,DNI
Chironomidae,Endotribelos hesperium,FALSE,,DNI,Endotribelos,Endotribelos,DNI
Coleoptera,Enochrus,FALSE,,Hydrophilidae,Enochrus,Enochrus,Hydrophilidae
Terrestrial,Entomobryidae,TRUE,Collembola excluded,DNI,DNI,DNI,DNI
Fish,Entosphenus tridentatus,TRUE,Fish… well Lamprey,DNI,DNI,DNI,DNI
Trichoptera,Eobrachycentrus,FALSE,Single sp.  E. gelidae,DNI,Eobrachycentrus,Eobrachycentrus,DNI
,Eobrachycentrus gelidae,FALSE,,DNI,Eobrachycentrus,Eobrachycentrus,DNI
Trichoptera,Eocosmoecus,FALSE,single species in genus,DNI,Eocosmoecus,Eocosmoecus,DNI
Trichoptera,Eocosmoecus frontalis,FALSE,single species in genus,DNI,Eocosmoecus frontalis,Eocosmoecus frontalis,DNI
Other Non-Insect,Eogammarus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI
Other Non-Insect,Eogammarus confervicolus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI
Ephemeroptera,Epeorus,FALSE,,DNI,Epeorus,Epeorus,DNI
Ephemeroptera,Epeorus albertae,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Ephemeroptera,Epeorus albertae group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Ephemeroptera,Epeorus Albertae Group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Ephemeroptera,Epeorus albertae Group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Ephemeroptera,Epeorus deceptivus,FALSE,Formatting,Epeorus deceptivus,Epeorus deceptivus,Epeorus deceptivus,DNI
Ephemeroptera,Epeorus grandis,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Ephemeroptera,Epeorus grandis group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Ephemeroptera,Epeorus Grandis Group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Ephemeroptera,Epeorus grandis Group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Ephemeroptera,Epeorus grandis/permagnus,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Ephemeroptera,Epeorus grandis/permagnus gr.,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
,Epeorus Ironopsis,FALSE,bad subgenus formatting= grandis group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Ephemeroptera,Epeorus longimanus,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Ephemeroptera,Epeorus longimanus group,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Ephemeroptera,Epeorus Longimanus Group,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Ephemeroptera,Epeorus/Ironodes,FALSE,,DNI,Heptageniidae,Heptageniidae,DNI
Ephemeroptera,Ephemera,FALSE,,DNI,Ephemera,Ephemera,DNI
Ephemeroptera,Ephemera simulans,FALSE,,DNI,Ephemera,Ephemera,DNI
Ephemeroptera,Ephemerella,FALSE,,DNI,Ephemerella,Ephemerella,Ephemerella
Ephemeroptera,Ephemerella alleni,FALSE,,DNI,Ephemerella alleni,Ephemerella alleni,Ephemerella
Ephemeroptera,Ephemerella aurivillii,FALSE,,Ephemerella aurivillii,Ephemerella aurivillii,Ephemerella aurivillii,Ephemerella
Ephemeroptera,Ephemerella dorothea,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella dorothea infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella dorothea/excrucians,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella dorothea/excrucians group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella excrucians,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella Excrucians Gr.,FALSE,Formatting (Gr.),Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,DNI
Ephemeroptera,Ephemerella excrucians group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella Excrucians Group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella excrucians Group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella inermis,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella inermis/dorothea,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella inermis/infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemeroptera,Ephemerella infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
,Ephemerella maculata,FALSE,"valid taxon, very rare southern california coast range dubious ID for Oregon",DNI,Ephemerella,Ephemerella,Ephemerella
Ephemeroptera,Ephemerella needhami,FALSE,,DNI,Ephemerella needhami,Ephemerella needhami,Ephemerella
Ephemeroptera,Ephemerella tibialis,FALSE,,Ephemerella tibialis,Ephemerella tibialis,Ephemerella tibialis,Ephemerella
Ephemeroptera,Ephemerella verruca,FALSE,,DNI,Ephemerella verruca,Ephemerella verruca,Ephemerella
Ephemeroptera,Ephemerellidae,FALSE,,DNI,Ephemerellidae,Ephemerellidae,DNI
Ephemeroptera,Ephemerellinae,FALSE,,DNI,Ephemerellidae,Ephemerellidae,DNI
Ephemeroptera,Ephemeridae,FALSE,,DNI,Ephemeridae,Ephemeridae,DNI
Ephemeroptera,Ephemeroptera,FALSE,,DNI,Ephemeroptera,Ephemeroptera,DNI
Ephemeroptera,Ephoron,FALSE,,DNI,Ephoron,Ephoron,DNI
Ephemeroptera,Ephoron album,FALSE,,DNI,Ephoron,Ephoron,DNI
Diptera,Ephydra,FALSE,,Ephydridae,Ephydridae,Ephydridae,Ephydridae
Diptera,Ephydridae,FALSE,,Ephydridae,Ephydridae,Ephydridae,Ephydridae
Diptera,Epiphragma,FALSE,,DNI,Epiphragma,Epiphragma,DNI
Odonata,Epitheca,FALSE,,DNI,Epitheca,Epitheca,DNI
Chironomidae,Epoicocladius,FALSE,,DNI,Epoicocladius,Epoicocladius,DNI
Chironomidae,Eretmoptera,FALSE,,DNI,Eretmoptera,Eretmoptera,DNI
Diptera,Erioptera,FALSE,,DNI,Erioptera,Erioptera,DNI
Diptera,Erioptera/Haplolabis/Symplectra,FALSE,,DNI,Tipulidae,Tipulidae,DNI
Diptera,Eristalis,FALSE,,DNI,Eristalis,Eristalis,DNI
Odonata,Erpetogomphus,FALSE,,DNI,Erpetogomphus,Erpetogomphus,DNI
Odonata,Erpetogomphus compositus,FALSE,,DNI,Erpetogomphus,Erpetogomphus,DNI
Other Non-Insect,Erpobdella,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Other Non-Insect,Erpobdella punctata,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Other Non-Insect,Erpobdellidae,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Odonata,Erythemis,FALSE,,DNI,Erythemis,Erythemis,DNI
Other Non-Insect,Estelloxus,FALSE,,Lebertia,Estelloxus,Trombidiformes,Lebertia
Other Non-Insect,Estelloxus californiensis,FALSE,,Lebertia,Estelloxus,Trombidiformes,Lebertia
Other Non-Insect,Estelloxus sensu lato,FALSE,,Lebertia,Estelloxus,Trombidiformes,Lebertia
Coleoptera,Eubrianax,FALSE,,Eubrianax,Eubrianax,Eubrianax,Eubrianax
Coleoptera,Eubrianax edwardsi,FALSE,,Eubrianax,Eubrianax,Eubrianax,Eubrianax
Coleoptera,Eubrianax edwardsii,FALSE,,Eubrianax,Eubrianax,Eubrianax,Eubrianax
,Eucapnopsis,FALSE,1 NA sp.,Capniidae,Capniidae,Capniidae,Capniidae
Plecoptera,Eucapnopsis brevicauda,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae
Diptera,Eucorethra,FALSE,Single species in Genus,DNI,Eucorethra,Eucorethra,DNI
Diptera,Eucorethra underwoodi,FALSE,Single species in Genus,DNI,Eucorethra,Eucorethra,DNI
Chironomidae,Eukiefferiella,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella
Chironomidae,Eukiefferiella brehmi,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Chironomidae,Eukiefferiella Brehmi Gr.,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Chironomidae,Eukiefferiella brehmi group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Chironomidae,Eukiefferiella Brehmi Group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Chironomidae,Eukiefferiella brehmi Group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Chironomidae,Eukiefferiella Brevicalcar Gr.,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella
Chironomidae,Eukiefferiella brevicalcar group,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella
Chironomidae,Eukiefferiella Brevicalcar Group,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella
Chironomidae,Eukiefferiella cf. tirolensis,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella
Chironomidae,Eukiefferiella claripennis,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Chironomidae,Eukiefferiella Claripennis Gr.,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Chironomidae,Eukiefferiella claripennis group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Chironomidae,Eukiefferiella Claripennis Group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Chironomidae,Eukiefferiella claripennis Group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Chironomidae,Eukiefferiella coerulescens,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella
Chironomidae,Eukiefferiella Coerulescens Gr.,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella
Chironomidae,Eukiefferiella coerulescens group,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella
Chironomidae,Eukiefferiella Coerulescens Group,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella
Chironomidae,Eukiefferiella Devonica Gr.,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella
Chironomidae,Eukiefferiella devonica group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella
Chironomidae,Eukiefferiella Devonica Group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella
Chironomidae,Eukiefferiella devonica Group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella
Chironomidae,Eukiefferiella discoloripes Group,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella
Chironomidae,Eukiefferiella Discoloripes Group,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella
Chironomidae,Eukiefferiella Gracei Gr.,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella
Chironomidae,Eukiefferiella gracei group,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella
Chironomidae,Eukiefferiella Gracei Group,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella
Chironomidae,Eukiefferiella pseudomontana,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Chironomidae,Eukiefferiella Pseudomontana Gr.,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Chironomidae,Eukiefferiella pseudomontana group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Chironomidae,Eukiefferiella Pseudomontana Group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Chironomidae,Eukiefferiella pseudomontana Group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Chironomidae,Eukiefferiella tirolensis,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella
Chironomidae,Eukiefferiella tirolensis group,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella
Chironomidae,Eukiefferiella Tirolensis Group,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella
Chironomidae,Eukiefferiella/Tvetenia,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Terrestrial,Eukoenenia,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Diptera,Euparyphus,FALSE,,Stratiomyidae,Euparyphus,Euparyphus,DNI
,Euphylidorea,FALSE,"subgenus of Limnophila now genus, Limnophila still valid but very different taxon concept translating to family",DNI,Limoniidae,Limoniidae,DNI
Chironomidae,Euryhapsis,FALSE,,DNI,Euryhapsis,Euryhapsis,DNI
Ephemeroptera,Eurylophella,FALSE,,DNI,Eurylophella,Eurylophella,DNI
Ephemeroptera,Eurylophella lodi,FALSE,,DNI,Eurylophella,Eurylophella,DNI
Other Non-Insect,Eylais,FALSE,,DNI,Eylais,Trombidiformes,DNI
Ephemeroptera,Fallceon,FALSE,,Fallceon,Fallceon,Fallceon,DNI
Ephemeroptera,Fallceon quilleri,FALSE,,Fallceon,Fallceon,Fallceon,DNI
Trichoptera,Farula,FALSE,,Farula,Farula,Farula,DNI
Trichoptera,Farula/Neothremma,FALSE,,DNI,Uenoidae,Uenoidae,DNI
Other Non-Insect,Feltria,FALSE,,DNI,Feltria,Trombidiformes,DNI
Other Non-Insect,Ferrisia,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Other Non-Insect,Ferrissia,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Other Non-Insect,Ferrissia fragilis,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Other Non-Insect,Ferrissia rivularis,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Other Non-Insect,Fisherola nuttalli,FALSE,,Lymnaeidae,Fisherola nuttalli,Fisherola nuttalli,Lymnaeidae
Other Non-Insect,Fluminicola,FALSE,Common hydroboid in PNW streams,Truncatelloidea,Truncatelloidea,Truncatelloidea,Truncatelloidea
Diptera,Forcipomyia,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Diptera,Forcipomyiinae,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Other Non-Insect,Forelia,FALSE,,DNI,Forelia,Trombidiformes,DNI
Other Non-Insect,Fossaria,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
