"Sample","MLocID","StationDes","Project1","Date","Habitat","Activity_Type","lat","long","total.richness","Coleoptera.rich","Diptera.rich","Ephemeroptera.rich","Plecoptera.rich","Trichoptera.rich","Baetidae.rich","Chironomidae.rich","Hydropsychidae.rich","pct_Coleoptera","pct_Diptera","pct_Ephemeroptera","pct_Plecoptera","pct_Trichoptera","EPT.rich","pct_EPT","multivoltine.rich","semivoltine.rich","univoltine.rich","pct_multivoltine","pct_semivoltine","pct_univoltine","CF.rich","CG.rich","MH.rich","OM.rich","PA.rich","PH.rich","PR.rich","SC.rich","SH.rich","UN.rich","NA.rich","pct_CF","pct_CG","pct_MH","pct_OM","pct_PA","pct_PH","pct_PR","pct_SC","pct_SH","pct_UN","pct_NA","pct_Dom.5","pct_Dom.3","pct_Dom.1","Shannon_diversity","Simpson_diversity","Evenness","Non.Insect_richness","pct_Non.Insect","MTI","tot.abund.RIV","tot.abund","tot.abund.y","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null","outlier.05","outlier.01","oe.cond","BSTI","org_id","MLocID.y","Eco2","Eco3","ELEV_m","precip_mm","temp_Cx10","W_E","HUC8_Name","HUC12_Name","Wade_Boat","Result_Status","low.count","methods.ok","OE.outlier","month","index.period","Use.303d","reason.no.303"
"10743-ORDEQ:19950526:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1995-05-26","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,27,3,6,8,2,6,3,3,2,24.4525547445255,5.10948905109489,56.9343065693431,4.37956204379562,7.66423357664234,16,68.978102189781,6,4,16,37.956204379562,22.6277372262774,37.5912408759124,3,10,NA,3,NA,NA,5,4,2,NA,NA,7.66423357664234,63.1386861313869,0,8.75912408759124,0,0,2.55474452554745,15.3284671532847,2.55474452554745,0,0,68.2481751824817,53.6496350364963,24.4525547445255,2.49909358261564,0.875326335979541,0.758257669969384,1,1.09489051094891,3.16867469879518,274,274,274,NA,NA,NA,7,7.56,0.93,NA,NA,NA,NA,"Least disturbed",10.9633182210992,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Rejected","NO","No",NA,5,"No","No"," methods NA   index"
"10743-ORDEQ:19960524:R:QCFR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1996-05-24","Benthic Kick - Targeted Riffle","Quality Control Sample-Field Replicate",42.69611896,-120.5450365,24,2,5,10,3,3,2,2,2,6.18892508143322,3.90879478827362,47.8827361563518,11.400651465798,30.2931596091205,16,89.5765472312704,4,5,14,21.1726384364821,15.9609120521173,45.2768729641694,2,13,NA,1,NA,NA,4,3,NA,NA,1,29.9674267100977,35.5048859934853,0,7.49185667752443,0,0,4.56026058631922,4.88599348534202,0,0,17.5895765472313,70.0325732899023,53.4201954397394,20.8469055374593,2.46534586766372,0.881006695031247,0.775740751815334,1,0.325732899022801,3.70325203252033,300,307,307,NA,NA,NA,7,7.56,0.93,NA,NA,NA,NA,"Least disturbed",6.17257822194046,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Rejected","NO","No",NA,5,"No","No"," methods NA   index"
"10743-ORDEQ:19960524:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1996-05-24","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,26,4,4,9,4,4,2,1,2,9,6.33333333333333,49.6666666666667,9.66666666666667,25,17,84.3333333333333,3,7,15,25.6666666666667,16.6666666666667,41,3,10,NA,1,NA,NA,5,6,NA,NA,1,24.6666666666667,38.6666666666667,0,7.66666666666667,0,0,2.66666666666667,9,0,0.666666666666667,16.6666666666667,67,49,18.3333333333333,2.52632273332507,0.890905815053376,0.775398366452092,NA,0,3.62447257383966,298,300,300,NA,NA,NA,7,7.56,0.93,NA,NA,NA,NA,"Least disturbed",0.0168741799807413,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Rejected","NO","No",NA,5,"No","No"," methods NA   index"
"10743-ORDEQ:19960913:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1996-09-13","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,21,3,3,5,4,4,2,1,2,34.3653250773994,14.8606811145511,11.1455108359133,1.85758513931889,32.1981424148607,13,45.2012383900929,3,5,13,20.7430340557276,26.3157894736842,52.9411764705882,2,9,NA,2,NA,NA,4,4,NA,NA,NA,14.2414860681115,49.8452012383901,0,17.9566563467492,0,0,1.85758513931889,14.5510835913313,0,1.54798761609907,0,70.8978328173375,52.9411764705882,23.2198142414861,2.34026565086643,0.869684743483248,0.768680704030677,1,1.85758513931889,3.71003717472119,300,323,323,NA,NA,NA,6,7.56,0.79,NA,NA,NA,NA,"Least disturbed",7.13409237281895,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Rejected","NO","No",NA,9,"Yes","No"," methods NA   "
"10743-ORDEQ:19970522:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1997-05-22","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,25,3,5,7,4,4,2,2,2,10.5960264900662,27.4834437086093,45.364238410596,9.27152317880795,6.29139072847682,15,60.9271523178808,4,8,12,40.0662251655629,18.8741721854305,38.0794701986755,3,11,NA,2,NA,NA,6,2,NA,NA,1,21.523178807947,59.271523178808,0,7.94701986754967,0,0,3.64238410596026,3.64238410596026,0,0.993377483443709,2.98013245033113,63.5761589403974,48.6754966887417,20.8609271523179,2.58783650074531,0.89124282726144,0.803956611420781,NA,0,3.43939393939394,299,302,302,NA,NA,NA,8,7.56,1.06,NA,NA,NA,NA,"Least disturbed",11.5095555525479,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Rejected","NO","No",NA,5,"No","No"," methods NA   index"
"10743-ORDEQ:19970918:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1997-09-18","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,26,4,4,7,5,3,1,2,2,22.2873900293255,19.3548387096774,21.1143695014663,3.2258064516129,27.2727272727273,15,51.6129032258064,4,7,15,32.5513196480938,22.2873900293255,45.1612903225806,3,11,NA,2,1,NA,4,4,1,NA,NA,31.6715542521994,45.1612903225806,0,1.46627565982405,5.86510263929619,0,2.34604105571848,10.2639296187683,0.293255131964809,2.93255131964809,0,68.6217008797654,51.9061583577713,21.7008797653959,2.41564895109627,0.87461779282774,0.741429519630871,2,6.45161290322581,3.97407407407407,300,341,341,NA,NA,NA,7,7.56,0.93,NA,NA,NA,NA,"Least disturbed",2.36361425040895,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Rejected","NO","No",NA,9,"Yes","No"," methods NA   "
"10743-ORDEQ:19991008:R:QCFR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1999-10-08","Benthic Kick - Targeted Riffle","Quality Control Sample-Field Replicate",42.69611896,-120.5450365,23,4,6,5,2,5,2,3,2,19.7402597402597,28.5714285714286,17.4025974025974,0.519480519480519,32.987012987013,12,50.9090909090909,6,6,11,32.4675324675325,14.5454545454545,52.987012987013,2,9,NA,3,1,NA,4,4,NA,NA,NA,29.3506493506493,57.1428571428571,0,3.37662337662338,0.779220779220779,0,1.2987012987013,8.05194805194805,0,0,0,68.5714285714286,52.987012987013,22.3376623376623,2.33246439869451,0.860939412941563,0.743890512329752,1,0.779220779220779,4.45581395348837,300,385,385,NA,NA,NA,8,7.56,1.06,NA,NA,NA,NA,"Least disturbed",8.72513947772348,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Final","NO","Yes",NA,10,"Yes",NA,"  NA   "
"10743-ORDEQ:19991008:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1999-10-08","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,30,3,6,7,3,8,1,3,2,17.0212765957447,28.5714285714286,14.5896656534954,3.03951367781155,31.0030395136778,18,48.6322188449848,5,4,19,33.7386018237082,13.0699088145897,51.9756838905775,2,11,NA,5,1,NA,3,6,1,1,NA,20.3647416413374,54.4072948328268,0,6.99088145896657,2.12765957446809,0,3.3434650455927,11.5501519756839,0.911854103343465,0.303951367781155,0,51.6717325227964,38.9057750759878,17.9331306990881,2.7929662484885,0.913043922056977,0.821171468479605,2,4.86322188449848,4.07567567567568,300,329,329,NA,NA,NA,8,7.56,1.06,NA,NA,NA,NA,"Least disturbed",8.88250276603494,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Final","NO","Yes",NA,10,"Yes",NA,"  NA   "
"10743-ORDEQ:20001006:R:QCFR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","2000-10-06","Benthic Kick - Targeted Riffle","Quality Control Sample-Field Replicate",42.69611896,-120.5450365,26,4,4,4,2,8,2,2,2,21.9895287958115,8.55148342059337,18.848167539267,1.74520069808028,36.9982547993019,14,57.5916230366492,5,5,16,17.2774869109948,11.8673647469459,70.8551483420593,2,10,NA,2,1,NA,4,6,1,NA,NA,25.3054101221641,47.8184991273996,0,3.1413612565445,1.74520069808028,0,2.09424083769634,19.7207678883072,0.174520069808028,0,0,54.7993019197208,35.9511343804538,13.6125654450262,2.58879279537928,0.910663187882727,0.794572157444835,3,11.5183246073298,4.18571428571429,300,573,573,NA,NA,NA,7,7.56,0.93,NA,NA,NA,NA,"Least disturbed",17.3254863812952,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Final","NO","Yes",NA,10,"Yes",NA,"  NA   "
"10743-ORDEQ:20001006:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","2000-10-06","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,27,4,5,3,4,6,1,2,2,26.465661641541,8.5427135678392,11.7252931323283,1.17252931323283,35.3433835845896,13,48.2412060301508,4,6,16,14.2378559463987,13.4003350083752,72.1943048576214,2,10,NA,3,1,NA,5,6,NA,NA,NA,24.1206030150754,43.0485762144054,0,4.18760469011725,3.51758793969849,0,1.34003350083752,23.785594639866,0,0,0,58.7939698492462,39.3634840871022,14.9078726968174,2.61119866267628,0.90749312909751,0.792271817094497,4,14.9078726968174,4.19230769230769,300,597,597,NA,NA,NA,6,7.56,0.79,NA,NA,NA,NA,"Least disturbed",17.6799935957394,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Final","NO","Yes",NA,10,"Yes",NA,"  NA   "
"10743-ORDEQ:20011012:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","2001-10-12","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,18,4,0,4,0,5,1,0,1,13.4146341463415,16.1585365853659,17.6829268292683,9.45121951219512,25,9,52.1341463414634,2,5,8,24.0853658536585,15.5487804878049,49.6951219512195,1,8,NA,3,1,NA,2,2,NA,NA,1,2.13414634146341,35.9756097560976,0,22.2560975609756,1.82926829268293,0,3.65853658536585,24.6951219512195,0,0,9.45121951219512,48.780487804878,32.9268292682927,13.4146341463415,2.26101989536311,0.860765608018355,0.782259198729803,3,9.75609756097561,3.1965811965812,300,328,328,NA,NA,NA,8,7.56,1.06,NA,NA,NA,NA,"Least disturbed",4.08346518663067,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Final","NO","Yes",NA,10,"Yes",NA,"  NA   "
"10743-ORDEQ:20030912:R:QCFR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","2003-09-12","Benthic Kick - Targeted Riffle","Quality Control Sample-Field Replicate",42.69611896,-120.5450365,28,4,4,7,2,6,3,3,2,16.4075993091537,5.87219343696028,27.8065630397237,0.518134715025907,41.7962003454231,15,70.1208981001727,7,5,14,16.580310880829,12.9533678756477,69.7754749568221,2,12,NA,3,1,NA,2,7,NA,NA,1,11.5716753022453,41.9689119170984,0,0.863557858376511,5.18134715025907,0,0.518134715025907,39.7236614853195,0,0,0.172711571675302,64.594127806563,54.4041450777202,29.0155440414508,2.33507476635805,0.835424829041912,0.700759740054271,4,6.39032815198618,3.5,300,579,579,NA,NA,NA,9,7.56,1.19,NA,NA,NA,NA,"Least disturbed",18.4990796090079,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Final","NO","Yes",NA,9,"Yes",NA,"  NA   "
"10743-ORDEQ:20030912:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","2003-09-12","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,31,4,3,8,3,6,2,3,2,14.4927536231884,10.5072463768116,23.1884057971014,0.905797101449275,39.6739130434783,17,63.768115942029,6,6,18,18.4782608695652,12.6811594202899,67.7536231884058,2,11,NA,2,1,NA,4,10,1,NA,NA,13.0434782608696,45.1086956521739,0,1.26811594202899,3.26086956521739,0,1.08695652173913,35.8695652173913,0.36231884057971,0,0,62.3188405797101,49.4565217391304,24.4565217391304,2.56403885196646,0.874996649063078,0.746665231780001,5,8.15217391304348,3.4200477326969,300,552,552,NA,NA,NA,8,7.56,1.06,NA,NA,NA,NA,"Least disturbed",16.7017867316832,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Final","NO","Yes",NA,9,"Yes",NA,"  NA   "
"10743-ORDEQ:20041015:R:QCFR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","2004-10-15","Benthic Kick - Targeted Riffle","Quality Control Sample-Field Replicate",42.69611896,-120.5450365,26,4,6,6,2,5,2,3,2,16.6377816291161,2.07972270363951,14.7313691507799,1.73310225303293,60.1386481802426,13,76.6031195840555,5,5,15,5.02599653379549,17.5043327556326,76.2564991334489,3,11,NA,1,NA,NA,3,8,NA,NA,NA,44.0207972270364,30.155979202773,0,1.38648180242634,0,0,1.21317157712305,23.2235701906412,0,0,0,71.57712305026,57.8856152512998,37.7816291161178,2.16455948305475,0.799353589765171,0.664363212628807,3,4.67937608318891,3.87382297551789,300,577,577,NA,NA,NA,7,7.56,0.93,NA,NA,NA,NA,"Least disturbed",18.6033416658513,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Final","NO","Yes",NA,10,"Yes",NA,"  NA   "
